model_name,datasets_used,accuracy,precision,recall,f1_score,roc_auc,num_features,timestamp
model_UDP_RF_1_XEKM,UDP,0.9977973568281938,1.0,0.9955947136563876,0.9977924944812362,1.0,72,2025-11-25 18:21:36.467559
model_UDP_LR_1_2M72,UDP,1.0,1.0,1.0,1.0,1.0,72,2025-11-25 18:22:08.089878
model_UDP_NN_1_SDGJ,UDP,1.0,1.0,1.0,1.0,1.0,72,2025-11-25 18:22:43.900290
model_2sets_RF_1_FIUS,DNS;UDP,1.0,1.0,1.0,1.0,1.0,72,2025-11-25 18:23:39.855513
model_2sets_LR_1_8H4F,DNS;UDP,0.996694214876033,0.9945175438596491,0.998898678414097,0.9967032967032967,0.9968041031818116,72,2025-11-25 18:24:30.874293
model_2sets_NN_1_RRT6,DNS;UDP,0.9994490358126722,0.9988998899889989,1.0,0.9994496422674739,0.9999878575348853,72,2025-11-25 18:25:25.003145
model_allsets_RF_1_QDCU,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9998209169054442,1.0,0.9996418338108882,0.999820884828945,0.9999999518938679,72,2025-11-25 18:26:08.451247
model_allsets_LR_1_L7LQ,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9982091690544412,0.9977634639470389,0.9986568767908309,0.9982099704645127,0.9997368915279843,72,2025-11-25 18:26:40.925297
model_allsets_NN_1_5EN6,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9996866045845272,0.9996418658787716,0.9997313753581661,0.9996866186148543,0.9999819602004498,72,2025-11-25 18:28:02.723473
model_allsets_RF_DQDI,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9997761461318052,0.999910434393193,0.9996418338108882,0.9997761160614338,0.9999998677081366,72,2025-11-26 11:19:00.431994
model_DNS_NN_ENVT,DNS,0.9963262307127112,0.9927007299270073,1.0,0.9963369963369964,0.9996102185367539,72,2025-11-26 11:33:11.404835
model_allsets_RF_P2TO,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9997761461318052,0.999910434393193,0.9996418338108882,0.9997761160614338,0.9999998677081366,72,2025-12-06 12:36:18.448868
model_allsets_RF_V1KW,DNS;LDAP;MSSQL;NETBIOS;NTP;SNMP;SSDP;SYN;TFTP;UDP;UDPLAG,0.9997761461318052,0.999910434393193,0.9996418338108882,0.9997761160614338,0.9999998677081366,72,2025-12-15 20:50:48.997401
model_UDP_RF_U449,UDP,1.0,1.0,1.0,1.0,1.0,76,2025-12-16 04:11:50.105985
model_LDAP_RF_LEBO,LDAP,0.9976525821596244,0.9953271028037384,1.0,0.9976580796252927,0.9988014944124843,76,2025-12-16 04:19:21.552165
model_allsets_RF_12PD,LDAP;MSSQL;NETBIOS;SYN;UDP;UDPLAG,0.9991605862981856,0.9998706673564408,0.9984502130956994,0.9991599353796445,0.9999986408011289,77,2025-12-16 05:51:46.254059
model_allsets_LR_XNO9,LDAP;MSSQL;NETBIOS;SYN;UDP;UDPLAG,0.9958675017756828,0.9979250421475814,0.9938008523827974,0.9958586773650835,0.998780023118722,77,2025-12-16 05:52:24.627283
model_allsets_NN_LO54,LDAP;MSSQL;NETBIOS;SYN;UDP;UDPLAG,0.9980628914573513,0.9998703823720025,0.9962546816479401,0.9980592573424764,0.9998362290439884,77,2025-12-16 05:54:25.896643
